name,centroid_lat,centroid_lon,drainage_area,elevation_mean,elevation_min,elevation_max
1516500,4654948.1668,-162656.4812,31.9425,535.9607,409.4582,745.0659
1518862,4678363.5556,-214990.4362,236.8604,598.0888,38.7817,777.609
1532000,4641131.8909,-140664.8325,564.1147,486.8558,230.4156,737.9176
1539000,4591150.4452,-115478.3129,709.9642,403.0816,166.0246,787.2554
1542810,4648509.5195,-274270.6304,13.9179,564.2598,385.6379,735.0976
1543000,4640901.7854,-275885.812,715.0,532.0098,272.6207,742.9181
1543500,4626064.4975,-282686.2873,1805.0211,523.5257,234.6283,744.9386
1544500,4640649.6808,-227305.5583,367.6113,575.863,308.864,758.8714
1545600,4626495.4898,-221857.7943,125.8012,552.2044,216.0535,691.9812
1547700,4580775.4698,-235279.659,117.102,396.7167,177.9082,672.5883
1548500,4652839.9927,-208246.7031,1575.8383,572.2702,238.1348,787.445
1549500,4627906.638,-179258.6395,99.7831,538.3282,314.7362,712.6678
1550000,4628340.4891,-163659.5866,457.9862,525.8791,210.2446,731.4032
1552000,4618407.0337,-135153.1219,1141.5417,509.6128,178.8366,749.1956
1552500,4607302.2562,-124730.8521,62.4837,558.1984,293.9201,740.8879
1557500,4551037.4314,-278349.617,119.8551,490.4846,277.1286,775.6004
1567500,4505097.9787,-216756.6252,39.9391,273.8772,181.3706,612.1872
1568000,4497257.6693,-214680.487,543.4092,306.1755,126.8732,688.0882
1580000,4420905.0381,-146100.6213,249.2885,196.0972,75.1155,325.4956
1583500,4404808.6296,-167516.1448,165.1048,166.4811,71.0866,277.2424
1586610,4401876.7959,-189596.9269,73.7767,218.4843,128.6729,293.823
1591400,4381944.1062,-195699.0172,60.345,170.7414,114.3841,238.4464
1594950,4400240.8163,-398940.8006,6.1913,846.0296,744.9021,968.1083
1596500,4435491.8504,-364049.5417,129.4083,751.956,475.522,919.1858
1605500,4316462.7334,-412550.3085,484.5762,866.6049,502.5428,1391.1847
1606500,4335211.4733,-407045.2861,1719.6551,837.9168,292.8125,1481.8246
1632000,4330964.4502,-367073.1527,556.666,600.6152,320.3517,1229.4651
1632900,4311531.8439,-348406.7522,250.6332,421.5256,268.0404,990.7571
1634500,4367189.7799,-318202.2696,269.2458,420.052,199.181,950.5192
1638480,4375038.9461,-249525.7512,236.4574,171.144,76.1645,509.9938
1639500,4419539.9368,-191334.3005,270.6318,196.0439,103.7847,335.9938
1644000,4353024.2554,-263058.4228,871.6016,185.3273,75.863,670.7418
